year,site,site_year,field_hab,nat_reg,nat_subreg,elev,lat,long
2003,630,630_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 6 deg., aspect 168 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,639,56.071377,-113.253578
2003,638,638_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 2 deg., aspect 219 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,574,55.781212,-110.729614
2003,655,655_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 0 deg., aspect VNA deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,676,56.103893,-115.517708
2003,656,656_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 2 deg., aspect 98 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,659,56.088947,-115.157852
2003,661,661_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 8 deg., aspect 213 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,577,55.939598,-113.585197
2003,669,669_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 0 deg., aspect VNA deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,563,55.636261,-111.128052
2003,687,687_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 1 deg., aspect 258 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,645,55.888378,-115.154457
2003,690,690_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 0 deg., aspect VNA deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,635,55.789543,-114.290833
2003,701,701_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope  deg., aspect  deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,630,55.44717,-110.891159
2003,702,702_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 0 deg., aspect VNA deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,604,55.394737,-110.568474
2003,717,717_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 8 deg., aspect 155 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,697,55.742378,-115.578911
2003,718,718_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 1 deg., aspect 255 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,710,55.723232,-115.245811
2003,720,720_2003,"Boreal Nat. Reg. (Central Mixedwood Subreg.). Dominant current ecosite (150 m radius)  Slope 1 deg., aspect 245 deg. % 25x15 m plot disturbed: ",Boreal,Central Mixedwood,710,55.686321,-114.670769
2003,721,721_2003,"Foothills Nat. Reg. (Lower Foothills Subreg.). Dominant current ecosite (150 m radius)  Slope 1 deg., aspect 115 deg. % 25x15 m plot disturbed: ",Foothills,Lower Foothills,763,55.624916,-114.345428
2003,723,723_2003,"Foothills Nat. Reg. (Lower Foothills Subreg.). Dominant current ecosite (150 m radius)  Slope 1 deg., aspect 176 deg. % 25x15 m plot disturbed: ",Foothills,Lower Foothills,893,55.585331,-113.688354
