SRR28386311	3
SRR28386310	8277
SRR28386287	P10073
SRR28386276	P10160
SRR28386265	P10246
SRR28386254	P10247
SRR28386243	P10264
SRR28386232	P1030
SRR28386221	P10324
SRR28386210	P10894
SRR28386309	P11060
SRR28386298	P11388
SRR28386295	P11425
SRR28386294	P1229
SRR28386293	P12502
SRR28386292	P12521
SRR28386291	P12523
SRR28386290	P12537
SRR28386289	P12545
SRR28386288	P12559
SRR28386286	P12560
SRR28386285	P12564
SRR28386284	P12567
SRR28386283	P12569
SRR28386282	P12570
SRR28386281	P12573
SRR28386280	P12578
SRR28386279	P12584
SRR28386278	P12588
SRR28386277	P12591
SRR28386275	P12641
SRR28386274	P12642
SRR28386273	P12646
SRR28386272	P12649
SRR28386271	P12650
SRR28386270	P14213
SRR28386269	P14264
SRR28386268	P14269
SRR28386267	P14318
SRR28386266	P14321
SRR28386264	P1574
SRR28386263	P2037
SRR28386262	P2039
SRR28386261	P2081
SRR28386260	P2083
SRR28386259	P2090
SRR28386258	P2115
SRR28386257	P2123
SRR28386256	P2152
SRR28386255	P2162
SRR28386253	P2164
SRR28386252	P2170
SRR28386251	P2180
SRR28386250	P2213
SRR28386249	P2224
SRR28386248	P3034
SRR28386247	P3068
SRR28386246	P330
SRR28386245	P5023
SRR28386244	P539
SRR28386242	P607
SRR28386241	P6447
SRR28386240	P6465
SRR28386239	P6524
SRR28386238	P6600
SRR28386237	P6602
SRR28386236	P6620
SRR28386235	P6636
SRR28386234	P6963
SRR28386233	P8202
SRR28386231	P8219
SRR28386230	P8231
SRR28386229	P8256
SRR28386228	P8569
SRR28386227	P8570
SRR28386226	P8571
SRR28386225	P8575
SRR28386224	P8577
SRR28386223	P8580
SRR28386222	P8690
SRR28386220	P8768
SRR28386219	P8840
SRR28386218	P8857
SRR28386217	P8926
SRR28386216	P9119
SRR28386215	P9121
SRR28386214	P943
SRR28386213	P9639
SRR28386212	P9728
SRR28386211	P9820
SRR28386209	P9822
SRR28386208	P9895
SRR28386207	S1
SRR28386206	S10
SRR28386205	S12
SRR28386204	S13
SRR28386203	S24
SRR28386202	S27
SRR28386201	S31
SRR28386200	S32
SRR28386308	S40
SRR28386307	S43
SRR28386306	S44
SRR28386305	S5
SRR28386304	S51
SRR28386303	S52
SRR28386302	S62
SRR28386301	S66
SRR28386300	S67
SRR28386299	S8
SRR28386297	S9
SRR28386296	X2
