tip_label,lifestyle,source,lichen_substrate
Nmoss2,bryophyte_associated,public,NA
Nmoss3,bryophyte_associated,public,NA
Nmoss4,bryophyte_associated,public,NA
Nostoc_KVJ10,bryophyte_associated,public,NA
Nostoc_KVJ2,bryophyte_associated,public,NA
Nostoc_KVS11,bryophyte_associated,public,NA
Nostoc_calcicola_FACHB_389,Free-living,public,NA
Nostoc_commune_NIES_4072,NA,public,NA
Nostoc_flagelliforme_CCNUN1,Free-living,public,NA
Nostoc_linckia_NIES_25,Free-living,public,NA
Nostoc_linckia_z4,Free-living,public,NA
Nostoc_punctiforme_PCC_73102,cycad_symbiont,public,NA
Nostoc_sp_ATCC_53789_v2,NA,public,NA
Nostoc_sp_B_2019,Free-living,public,NA
Nostoc_sp_JC1668,cycad_symbiont,public,NA
Nostoc_sp_KVJ20,bryophyte_associated,public,NA
Nostoc_sp_Lobaria_pulmonaria_5183,lichenized,public,epiphytic
Nostoc_sp_Peltigera_malacea_cyanobiont_DB3992,lichenized,public,terricolous
Nostoc_sp_Peltigera_membranacea_cyanobiont_210A,lichenized,public,terricolous
Nostoc_sp_Peltigera_membranacea_cyanobiont_213,lichenized,public,terricolous
Nostoc_sp_Peltigera_membranacea_cyanobiont_232,lichenized,public,terricolous
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6,lichenized,public,terricolous
Nostoc_sphaeroides_CCNUC1,Free-living,public,NA
Nostoc_sphaeroides_Kutzing,Free-living,public,NA
Nostoc_punctiforme_NIES_2108,lichenized,public,terricolous
Nostoc_sp_ATCC_43529,Free-living,public,NA
Nostoc_commune_HK_02,Free-living,public,NA
Nostoc_sp_HG1,Free-living,public,NA
Nostoc_sp_GBBB01,Free-living,public,NA
Nostoc_sp_LPT,lichenized,public,epiphytic
Nostoc_indistinguendum_CM1_VF10,Free-living,public,NA
Nostoc_desertorum_CM1_VF14,Free-living,public,NA
Nostoc_sp_CCCryo_231_06,Free-living,public,NA
Nostoc_sp_unclutured,lichenized,public,terricolous
Nostoc_sp_TCL240_02,bryophyte_associated,public,NA
Nostoc_sp_C052,bryophyte_associated,public,NA
Nostoc_sp_C057,bryophyte_associated,public,NA
Nostoc_edaphicum_CCNP1411,Free-living,public,NA
Nostoc_sp_2RC,azolla_symbiont,public,NA
Nostoc_sp_UCD120,azolla_symbiont,public,NA
Nostoc_sp_UCD121,azolla_symbiont,public,NA
Nostoc_sp_FACHB_888,Free-living,public,NA
Nostoc_calcicola_FACHB_3891,Free-living,public,NA
Nostoc_sp_FACHB_133,Free-living,public,NA
Nostoc_flagelliforme_FACHB_838,Free-living,public,NA
Nostoc_sp_FACHB_973,Free-living,public,NA
Nostoc_punctiforme_FACHB_252,Free-living,public,NA
Nostoc_foliaceum_FACHB_393,Free-living,public,NA
Nostoc_linckia_FACHB_391,NA,public,NA
Nostoc_sp_FACHB_857,Free-living,public,NA
Nostoc_sp_FACHB_892,Free-living,public,NA
Nostoc_paludosum_FACHB_159,Free-living,public,NA
Nostoc_sp_MG11,Free-living,public,NA
Nostoc_sp_LEGE_12450,cycad_symbiont,public,NA
Nostoc_sp_LEGE_12447,cycad_symbiont,public,NA
Nostoc_cf_edaphicum_LEGE_07299,Free-living,public,NA
Nostoc_sp_NZL,Free-living,public,NA
Nostoc_commune_BAE,Free-living,public,NA
Nostoc_sp_CHAB_5836,Free-living,public,NA
Nostoc_sp_XA010,Free-living,public,NA
Nostoc_mirabile_CHAB5784,Free-living,public,NA
Nostoc_sp_KVJ3,bryophyte_associated,public,NA
Nostoc_sp_UHCC_0926,lichenized,public,terricolous
3_bin_5,lichenized,public,terricolous
8277_bin_2,lichenized,public,terricolous
Aphanizomenon_flos_aquae_NIES_81,Free-living,public,NA
Anabaena_cylindrica_PCC_7122,Free-living,public,NA
Cylindrospermum_stagnale_PCC_7417,Free-living,public,NA
JL23_bin_27,lichenized,public,terricolous
JL31_bin_38,lichenized,public,terricolous
JL33_bin_16,lichenized,public,terricolous
JL34_bin_22,lichenized,public,terricolous
NMS1_bin_5,lichenized,public,aquatic
NMS2_bin_6,lichenized,public,aquatic
NMS4_bin_2,lichenized,public,terricolous
NMS7_bin_22,lichenized,public,terricolous
NMS8_bin_8,lichenized,public,terricolous
NMS9_bin_7,lichenized,public,terricolous
NOS_bin_1,lichenized,public,terricolous
P10073_bin_12,lichenized,public,epiphytic
P10160_bin_1,lichenized,public,terricolous
P10246_bin_4,lichenized,public,terricolous
P10246_bin_10,lichenized,public,terricolous
P10247_bin_16,lichenized,public,terricolous
P10264_bin_13,lichenized,public,epiphytic
P1030_bin_5,lichenized,public,terricolous
P10324_bin_2,lichenized,public,terricolous
