Collection Number,Species,Voucher Information / Collection Site,ITS accession number,rbcLX accession number,rbcLX phylogroup
P894,Peltigera dolichorhiza,Bolivia; M. Kukwa 9232; UGDA-17709,KX897177,KX922884,HT33
P29,P. dolichorhiza,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,KX897178,KX922885,HT42
P893,P. dolichorhiza,Bolivia; M. Kukwa 9740; UGDA-17730,KX897179,KX922886,V
N999,P. dolichorhiza,Reunion Island; N. Magain & E. Sérusiaux s.n.; LG,KX897180,KX897457,XIX
P28,P. dolichorhiza,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,KX897181,KX897458,XIXa
N789,P. dolichorhiza,Madagascar; E. Sérusiaux s.n.; LG ,XXXXXXXX,XXXXXXXX,XIXb
P1558,P. dolichorhiza,"Brazil, Minas Gerais, J. Miadlikowska et al. s.n.; CGMS-34474",YYYYYYYY,YYYYYYYY,XIXb
P1568,P. dolichorhiza,"Brazil, Minas Gerais, J. Miadlikowska et al. s.n.; CGMS-34542",YYYYYYYY,YYYYYYYY,XIXb
P1596,P. dolichorhiza,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34453",KX897187,XXXXXXXX,XIXb
P1599,P. dolichorhiza,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n. ?; CGMS",YYYYYYYY,YYYYYYYY,XIXb
P348,P. dolichorhiza,Mexico; M. A. Herrera-Campos 13382; MEXU ,KX897182,KX922889,XIXb
P879,P. dolichorhiza,Rwanda; E. Sérusiaux PA7; LG ,KX897183,KX922890,XIXb
N1942,P. dolichorhiza,Panama; B. Goffinet 753; CONN ,KX897184,KX922891,XIXc
P1603,P. dolichorhiza,"Brazil, Minas Gerais, J. Miadlikowska et al. s.n.; CGMS-34588",YYYYYYYY,YYYYYYYY,XIXc
P1563,P. dolichorhiza,"Brazil, Minas Gerais, J. Miadlikowska et al. s.n.; CGMS-34402",YYYYYYYY,YYYYYYYY,XIXd
P1574,P. dolichorhiza,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34450",KX897185,KX922892,XIXd
P1646,P. dolichorhiza,"Brazil, Minas Gerais, J. Miadlikowska et al. s.n.; CGMS-34453",YYYYYYYY,YYYYYYYY,XIXd
P355,P. dolichorhiza,Mexico; M. A. Herrera-Campos 135; MEXU,KX897186,KX922893,XIXd
P1550,P. dolichorhiza,Galapagos Islands; M.A. Herrera-Campos 10693; CDS40431,YYYYYYYY,YYYYYYYY,XIXe
P1552,P. dolichorhiza,Galapagos Islands; P. Clerc 08-250; CDS40104,YYYYYYYY,YYYYYYYY,XIXe
P1553,P. dolichorhiza,Galapagos Islands; C. Truong 1231; CDS39542,YYYYYYYY,YYYYYYYY,XIXe
P1567,P. dolichorhiza 2,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34530",KX897188,KX922894,XIXc
P1575,P. dolichorhiza 2,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34456",KX897189,KX922895,XIXd
P1236,"P. ""hawaiensis""","USA, Hawaii; B. McCune 22196; McCune Private Coll.",KX897190,KX922896,XIX
P1644,P. hymenina,"Canary Islands, Tenerife; E. Sérusiaux s.n.; LG",YYYYYYYY,YYYYYYYY,V
P430,P. hymenina,"Canada, Newfoundland; J. Lendemer 10397; H",KX897191,KX922897,VIIIb
N357,P. hymenina,"Spain, Tenerife; E. Sérusiaux s.n.; LG",KX897192,KX922898,XIXb
N2054,P. hymenina,Norway; H. Bratli 4604; O-65885,KX897193,KX922899,XVI
P1214,P. hymenina,"USA, Oregon; D. Kofranek 3729; McCune Private Coll.",KX897194,KX922900,XVI
P1226,P. hymenina,"USA, Oregon; B. McCune 26281; McCune Private Coll.",KX897195,KX922901,XVI
P1626,P. hymenina,"Canada, Newfoundland; R.C. Harris 53978; NY00952834",YYYYYYYY,YYYYYYYY,XVI
P1903,P. hymenina,"Portugal, Azores; D. Upreti 6916s; MAF",KX897208,XXXXXXXX,XVI
P516,P. hymenina,"Portugal, Azores; E. Sérusiaux s.n.; LG",KX897196,KX922902,XVI
P517,P. hymenina,"Portugal, Azores; E. Sérusiaux s.n.; LG",KX897197,KX922903,XVI
P539,P. hymenina,Norway; N. Magain s.n.; LG,KX897198,KX922904,XVI
P80,P. hymenina,Iceland; T. Ahti 69347; H,KX897200,KX922906,XVI
P851,P. hymenina,Iceland; H. G. Kristinsson 48978; AMNH-28943,KX897201,KX922907,XVI
P870,P. hymenina,Denmark; V. Alstrup s.n.; H,KX897202,KX922908,XVI
P871,P. hymenina,"Portugal, Azores; F. Rodriguez 0106/2010-66; B-600173049",KX897203,KX922909,XVI
P872,P. hymenina,"Portugal, Azores; F. Rodriguez 0106/2010-67; B-600173186",KX897204,KX922910,XVI
P1229,P. hymenina,"USA, Oregon; B. McCune 30448; McCune Private Coll.",KX897205,KX922911,XVIII
P515,P. melanorrhiza,"Portugal, Azores; E. Sérusiaux s.n.; LG",KX897210,KX922914,XVI
P1281,P. nana 1,"China, Yunnan; J. Miadlikowska s.n.; DUKE",KX897212,KX922915,HT45
P1666,P. nana 1,"Japan, Kochi; G. Thor 21255; UPS-383534",KX897213,KX922916,VIIc
P1282,P. nana 1,"China, Yunnan; J. Miadlikowska s.n.; DUKE",KX897214,KX922917,XII
P1665,P. nana 1,"China, Sichuan; N. Gustavsson 10; UPS-509502",KX897215,KX922918,XII
P416,P. nana 1,Philippines; L. A. Ejem; H,KX897209,KX922913,XII
P609,P. nana 2,New Zealand; S. Stenroos 6037; H,KX897217,KX922919,HT37
N1944,P. neopolydactyla 1,"USA, Alaska; B. Goffinet 9424; CONN",KX897219,KX922921,VIIa
P309,P. neopolydactyla 1,"Canada, Québec; J. Miadlikowska et al. s.n.; DUKE",KX897220,KX922922,VIIa
P411,P. neopolydactyla 1,"Russia, Yakutia; T. Ahti 65064; H",KX897221,KX922923,VIIa
P844,P. neopolydactyla 1,Norway; N. Magain s.n.; LG,KX897222,KX922924,VIIa
P845,P. neopolydactyla 1,Norway; N. Magain s.n.; LG,KX897223,KX922925,VIIa
N1939,P. neopolydactyla 1,"USA, Alabama; B. Goffinet 5209; DUKE",KX897224,KX922926,VIIb
P3065,P. neopolydactyla 1,"USA, TN; J. Hollinger 2943; UBC",YYYYYYYY,YYYYYYYY,VIIb
P640,P. neopolydactyla 1,"USA, North Carolina; J. Miadlikowska et al. s.n.; DUKE",KX897225,KX922927,VIIb
P645,P. neopolydactyla 1,"USA, North Carolina; J. Miadlikowska et al. s.n.; DUKE",KX897226,KX922928,VIIb
P1252,P. neopolydactyla 1,"USA, Arizona; J. Hollinger 1781; UBC",KX897227,KX922929,VIIc
P325,P. neopolydactyla 1b,Peru; E. Gaya 07.14.10-19; DUKE,KX897228,KX922930,VIIb
