Taxon,DNA Number,Voucher/Published source,ITS,LSU,RPB1,ß-tubulin,EFT 2.1,rbcLX,rbcLX phylogroup or haplotype
P. dolichorhiza,P894,Bolivia; M. Kukwa 9232; UGDA-17709,KX897177,--,--,--,--,KX922884,HT33
P. dolichorhiza,P29,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,KX897178,--,--,--,--,KX922885,HT42
P. dolichorhiza,P893,Bolivia; M. Kukwa 9740; UGDA-17730,KX897179,KX869750,KX880192,KX880092,KX897456,KX922886,V
P. dolichorhiza,N999,Reunion Island; N. Magain & E. Sérusiaux s.n.; LG,KX897180,KX869751,KX880193,KX880093,KX897457,KX922887,XIX
P. dolichorhiza,P28,Costa Rica; J. Miadlikowska et al. s.n.; DUKE,KX897181,KX869752,KX880194,KX880094,KX897458,KX922888,XIXa
P. dolichorhiza,P348,Mexico; M. A. Herrera-Campos 13382; MEXU,KX897182,666666866,666667205,666666969,666667081,KX922889,XIXb
P. dolichorhiza,P879,Rwanda; E. Sérusiaux PA7; LG,KX897183,--,--,--,--,KX922890,XIXb
P. dolichorhiza,N1942,Panama; B. Goffinet 753; CONN,KX897184,KX869753,KX880195,KX880095,KX897459,KX922891,XIXc
P. dolichorhiza,P1574,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34450",KX897185,--,--,--,--,KX922892,XIXd
P. dolichorhiza,P355,Mexico; M. A. Herrera-Campos 135; MEXU,KX897186,--,--,--,--,KX922893,XIXd
P. dolichorhiza,P1596,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34453",KX897187,KX869754,KX880196,KX880096,KX897460,--,N/A
P. dolichorhiza 2,P1567,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34530",KX897188,KX86975,KX880197,KX880097,KX897461,KX922894,XIXc
P. dolichorhiza 2,P1575,"Brazil, Minas Gerais; J. Miadlikowska et al. s.n.; CGMS-34456",KX897189,--,--,--,--,KX922895,XIXd
P. hawaiensis,P1236,"USA, Hawaii; B. McCune 22196; McCune Private Coll.",KX897190,KX869756,--,KX880098,--,KX922896,XIX
P. hymenina,P430,"Canada, Newfoundland; J. Lendemer 10397; H",KX897191,KX869757,KX880198,KX880099,KX897462,KX922897,VIIIb
P. hymenina,N357,"Spain, Tenerife; E. Sérusiaux s.n.; LG",KX897192,KX869758,KX880199,KX880100,KX897463,KX922898,XIXb
P. hymenina,N2054,Norway; H. Bratli 4604; O-65885,KX897193,--,--,--,--,KX922899,XVI
P. hymenina,P1214,"USA, Oregon; D. Kofranek 3729; McCune Private Coll.",KX897194,--,--,--,--,KX922900,XVI
P. hymenina,P1226,"USA, Oregon; B. McCune 26281; McCune Private Coll.",KX897195,--,--,--,--,KX922901,XVI
P. hymenina,P516,"Portugal, Azores; E. Sérusiaux s.n.; LG",KX897196,KX869759,KX880200,--,KX897464,KX922902,XVI
P. hymenina,P517,"Portugal, Azores; E. Sérusiaux s.n.; LG",KX897197,--,--,--,--,KX922903,XVI
P. hymenina,P539,Norway; N. Magain s.n.; LG,KX897198,KX869760,KX880201,KX880101,KX897465,KX922904,XVI
P. hymenina,P7,Iceland; J. Miadlikowska et al. s.n. 12540; DUKE,KX897199,--,--,--,--,KX922905,XVI
P. hymenina,P80,Iceland; T. Ahti 69347; H,KX897200,KX869761,KX880202,KX880102,KX897466,KX922906,XVI
P. hymenina,P851,Iceland; H. G. Kristinsson 48978; AMNH-28943,KX897201,--,--,--,--,KX922907,XVI
P. hymenina,P870,Denmark; V. Alstrup s.n.; H,KX897202,--,--,--,--,KX922908,XVI
P. hymenina,P871,"Portugal, Azores; F. Rodriguez 0106/2010-66; B-600173049",KX897203,--,--,--,--,KX922909,XVI
P. hymenina,P872,"Portugal, Azores; F. Rodriguez 0106/2010-67; B-600173186",KX897204,--,--,--,--,KX922910,XVI
P. hymenina,P1229,"USA, Oregon; B. McCune 30448; McCune Private Coll.",KX897205,KX869762,KX880203,KX880103,KX897467,KX922911,XVII
P. hymenina,P1247,"Canada, British Columbia; C. Björk 17053; UBC",KX897206,--,--,--,--,KX922912,XVII
P. hymenina,P1799,"Portugal, Azores; D. Upreti 6915a; MAF",KX897207,KX869763,KX880204,KX880104,KX897468,--,N/A
P. hymenina,P1903,"Portugal, Azores; D. Upreti 6916s; MAF",KX897208,KX869764,KX880205,KX880105,--,--,N/A
P. macra,P416,Philippines; L. A. Ejem; H,KX897209,--,--,--,--,KX922913,XII
P. melanorrhiza,P515,"Portugal, Azores; E. Sérusiaux s.n.; LG",KX897210,KX869765,KX880206,--,KX897469,KX922914,XVI
P. melanorrhiza,P1798,"Portugal, Azores; D. Upreti 6918b; MAF",KX897211,KX869766,KX880207,KX880106,KX897470,--,N/A
P. nana 1,P1281,"China, Yunnan; J. Miadlikowska s.n.; DUKE",KX897212,KX869767,KX880208,--,--,KX922915,HT45
P. nana 1,P1666,"Japan, Kochi; G. Thor 21255; UPS-383534",KX897213,KX869768,KX880209,--,--,KX922916,VIIc
P. nana 1,P1282,"China, Yunnan; J. Miadlikowska s.n.; DUKE",KX897214,--,--,--,--,KX922917,XII
P. nana 1,P1665,"China, Sichuan; N. Gustavsson 10; UPS-509502",KX897215,KX869769,KX880210,--,--,KX922918,XII
P. nana 1,P1290,"China, Yunnan; J. Miadlikowska s.n.; DUKE",KX897216,KX869770,KX880211,--,--,--,N/A
P. nana 2,P609,New Zealand; S. Stenroos 6037; H,KX897217,KX869771,KX880212,--,KX897471,KX922919,HT37
P. neopolydactyla,GB,"Canada, British Columbia; O'Brien et al. 2013",--,--,--,--,--,455476535,HT24
P. neopolydactyla,GB,USA; O'Brien et al. 2005,--,--,--,--,--,82470991,VIIa
P. neopolydactyla,GB,Finland; Stenroos et al. 2006,--,--,--,--,--,82779968,VIIa
P. neopolydactyla,GB,"Canada, Québec; O'Brien et al. 2013",--,--,--,--,--,455476637,VIIa
P. neopolydactyla,GB,"Canada, Québec; O'Brien et al. 2013",--,--,--,--,--,455476631,XIa
P. neopolydactyla,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690877,XIII
P. neopolydactyla,GB,China; O'Brien et al. 2013,--,--,--,--,--,455476643,N/A
P. neopolydactyla,GB,China; O'Brien et al. 2013,--,--,--,--,--,455476649,X
P. neopolydactyla,GB,Finland; Myllys et al. 2007,--,--,--,--,--,119690880,N/A
P. neopolydactyla 1,P67,"USA, North Carolina; J. Hollinger 2732; DUKE",KX897218,--,--,--,--,KX922920,VIIb
