DNA extraction no.*,Species name and clade no.**,Voucher,Mycobiont multilocus sequence type,Chemotype,ITS,_ -tubulin,COR1b,COR3,No. of genes,Nostoc haplotype****,Nostoc phylogroup,rbcLX
,,,,***,,,,,,,,
P1330,P. aphthosa 1,"Canada, Québec, Nunavik, L. Couillard s.n., QFA-0594935",H40,aph II,MK680352,xxx,xxx,missing,3,H1,Undefined (U),MH757014
P1332,P. aphthosa 1,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595018",H41,aph II,MK680353,MK688848,MK688647,missing,3,N/A,N/A,missing
P1334,P. aphthosa 1,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595026",H40 ,aph II,MK680354,MK688849,MK688648,missing,3,N/A,N/A,missing
P1340,P. aphthosa 1,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595014",H40,N/A,MK680356,MK688851,missing,missing,2,H2,VI,MK720733
P1035,P. aphthosa 2,"Canada, New Brunswick, W. R. Buck 57741, NYBG 01221809",H18,aph I,MK680318,MK688814,MK688625,MK688738,4,N/A,N/A,missing
P1309,P. aphthosa 2,"U.S., Alaska, Nome, J. Miadlikowska et al. s.n., 06. 2008, DUKE",H3,N/A,MK680338,MK688833,missing,missing,2,N/A,N/A,missing
P1312,P. aphthosa 2,"U.S., Alaska, Nome, J. Miadlikowska et al. s.n., 06. 2008, DUKE",H29,N/A,MK680339,MK688834,MK688638,missing,3,N/A,N/A,missing
P281,P. aphthosa 2,"U.S., Alaska, P. Nelson 2007, UBC",H20,N/A,MK680321,MK688817,missing,missing,2,H3,IV,MK720732
,,,,,,,,,,,,
P4000,P. aphthosa 2,"U.S., Alaska, K. Spickerman 192, Katmai National Park herb.",H2,aph I,MK680304,missing,MK688611,MK688733,3,N/A,N/A,missing
P4002,P. aphthosa 2,"U.S., Alaska, K. Spickerman 134, Katmai National Park herb.",H3,N/A,MH734725P,MK688803,MK688612,MK688734,4,N/A,N/A,missing
P4021,P. aphthosa 2,"Canada, Québec, R. Darnajoux, 06.2013, AstEch7-15, DUKE",H38,aph I,MK680360,MK688854,MK688652,MK688751,4,N/A,N/A,missing
P4023,P. aphthosa 2,"Canada, Québec, R. Darnajoux, 06.2013, AaE5-51, DUKE",H45,N/A,MK680361,MK688855,MK688653,MK688752,4,N/A,N/A,missing
P4024,P. aphthosa 2,"Canada, Québec, R. Darnajoux, 06.2013, Bms2-35, DUKE",H38,N/A,MK680362,MK688856,MK688654,MK688753,4,N/A,N/A,missing
P4026,P. aphthosa 2,"Canada, Québec, R. Darnajoux, 06.2013, AStJ4c-13, DUKE",H46,N/A,MK680364,MK688858,MK688656,MK688755,4,N/A,N/A,missing
P4027,P. aphthosa 2,"Canada, Québec, R. Darnajoux, 06.2013, BE3-58, DUKE",H47,N/A,MK680365,MK688859,MK688657,MK688756,4,N/A,N/A,missing
P4044,P. aphthosa 2,"Canada, Nova Scotia, R. Troy McMullin 8114, DUKE",H38,N/A,MK680350,MK688846,MK688646,missing,3,N/A,N/A,missing
P755,P. aphthosa 2,"Canada, Nova Scotia, T. Ahti 62465, H",H39,N/A,MK680351,MK688847,missing,missing,2,N/A,N/A,missing
P1037,P. aphthosa 3,"Canada, Newfoundland, J. Lendemer 10109, NYBG 00954670",H28,aph II,MK680337,MK688832,MK688637,MK688745,4,N/A,N/A,missing
P1318,P. aphthosa 3,"Canada, New Brunswick, J. Lendemer 28029, NYBG 01222570",H21,aph I,MK680322,MK688818,missing,missing,2,N/A,N/A,missing
P4025,P. aphthosa 3,"Canada, Québec, R. Darnajoux, 06.2013, Bms4-39, DUKE",H28,aph I,MK680363,MK688857,MK688655,MK688754,4,N/A,N/A,missing
P776,P. aphthosa 3,"Russia, Kamchatka, D. E. Himelbrant s.n., 03.08.2009, H",H21,aph I,MK680328,MK688824,MK688628,MK688741,4,N/A,N/A,missing
P1010,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG",H30,N/A,MK680340,MK688835,missing,missing,2,N/A,N/A,missing
P1019,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG",H31,aph II,MK680341,MK688836,missing,MK688746,3,N/A,N/A,missing
P1032,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG ",H12,aph II,MK680343,MK688839,MK688641,MK688749,4,N/A,N/A,missing
P110,P. aphthosa 4,"Canada, Québec, Miadlikowska et al. SN9W1, DUKE 0159625 (P5054 in Lu et al. 2018)",H4,N/A,MG811738L,missing,missing,missing,1,N/A,N/A,missing
P1184,P. aphthosa 4,"Finland, B. Krzewicka 2512, UPS L-153684",H4,aph I,MK680323,MK688819,missing,missing,2,N/A,N/A,missing
P1321,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG",H4,N/A,MK680344,MK688840,missing,missing,2,N/A,N/A,missing
P1323,P. aphthosa 4,"U.S., Alaska, B. McCune 31328, McCune herb.",H1,aph III,MK680303,MK688802,missing,missing,2,H8,IV,MK720755
P1336,P. aphthosa 4,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595129",H42,aph III,MK680355,MK688850,MK688649,missing,3,H12,VI,MK720758
P1346,P. aphthosa 4,"Canada, Québec, Nunavik, J. Gagnon s.n., QFA-0595016",H42,N/A,MK680357,MK688852,MK688650,missing,3,N/A,N/A,missing
P1367b,P. aphthosa 4,"Finland, B. Krzewicka 2512, H",H4,N/A,MK680324,MK688820,missing,missing,2,N/A,N/A,missing
P1368,P. aphthosa 4,"Finland, O. Vitikainen 16434, H",H4,N/A,MK680325,MK688821,missing,missing,2,N/A,N/A,missing
P4016,P. aphthosa 4,"Canada, Alberta, J. Miadlikowska s.n., 08.16.2013, DUKE",H12,aph III,MK680316,MK688812,MK688623,MK688736,4,N/A,N/A,missing
P4043,P. aphthosa 4,"U.S., Alaska, K. Spickerman s.n., 08.01.2013, DUKE",H4,aph III,MH734723P,MH756806P,MH756878P,missing,3,N/A,N/A,missing
P4045,P. aphthosa 4,"U.S., Alaska, K. Spickerman s.n., 08.01.2013, DUKE",H5,N/A,MK680305,MK688804,MK688613,missing,3,N/A,N/A,missing
P715,P. aphthosa 4,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H8,N/A,MK680309,missing,MK688617,missing,2,N/A,N/A,missing
P718,P. aphthosa 4,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H10,aph III,MK680311,MK688807,MK688619,missing,3,N/A,N/A,missing
P728,P. aphthosa 4,"Canada, Québec, J. Miadlikowska et al. W50C3, DUKE",H4,aph Ia,MK680368,missing,missing,missing,1,N/A,N/A,missing
P745,P. aphthosa 4,"U.S., Alaska, J. Miadlikowska and F. Lutzoni s.n., 08.09.2011, DUKE",H8,N/A,MK680313,MK688809,MK688621,missing,3,N/A,N/A,missing
P773,P. aphthosa 4,"Russia, Kamchatka, D. E. Himelbrant s.n., 16.08.2009, H",H22,aph III,MK680327,MK688823,missing,missing,2,N/A,N/A,missing
P788,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG ",H35,aph III,MK680346,MK688842,MK688642,MK688750,4,N/A,N/A,missing
P790,P. aphthosa 4,"Norway, N. Magain s.n., 2011, LG",H36,N/A,MK680347,MK688843,MK688643,missing,3,N/A,N/A,missing
Goffinet 3949b,P. aphthosa 5,"Canada, Alberta, B. Goffinet 3949b, CONN",H6,N/A,AF158645,missing,missing,missing,1,N/A,N/A,missing
HOB020708-0-5-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437625,missing,missing,missing,1,HT21,IV,KC437841
HOB020708-31-1-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H13,N/A,FJ708843,FJ709274,missing,missing,2,N/A,N/A,missing
HOB020708-31-1-8,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H13,N/A,FJ708844,FJ709275,missing,missing,2,N/A,N/A,missing
HOB020708-35-5-4,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708820,FJ709251,missing,missing,2,N/A,N/A,missing
HOB020708-35-5-5,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H14,N/A,FJ708845,FJ709276,missing,missing,2,N/A,N/A,missing
HOB020708-35-5-6,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708821,FJ709252,missing,missing,2,N/A,N/A,missing
HOB020708-39-1-9,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H15,N/A,FJ708842,FJ709273,missing,missing,2,N/A,N/A,missing
HOB020708-4-1-5,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708822,FJ709253,missing,missing,2,HT18,IV,KC437653
HOB020708-4-1-9,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437623,missing,missing,missing,1,HT18,IV,KC437849
HOB020708-4-5-7,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708823,FJ709254,missing,missing,2,N/A,N/A,missing
HOB020708-4-9-4,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708824,FJ709255,missing,missing,2,N/A,N/A,missing
HOB020708-4-9-5,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H6,N/A,KC437615,missing,missing,missing,1,HT2,VI,KC437853
HOB020708-4-9-6,P. aphthosa 5,"Canada, British Columbia, H. O'Brien s.n., DUKE",H7,N/A,FJ708825,FJ709256,missing,missing,2,N/A,N/A,missing
