collection_number,genus,species,collection_site,its_type,its_accesion,rbclx_cluster,rbclx_type,rbclx_accession,nifv_type,nifv_accession,rpoc_type,rpoc_accession,trnl_type,trnl_accession
HOB020708-0-1-1,Peltigera,canina,Spahats Creek,2,FJ708877,VI,2,KC437696,4,KC437943,1,KC438063,11,KC438179
HOB020708-0-1-2,Peltigera,canina,Spahats Creek,2,FJ708878,VI,2,KC437697,4,KC437944,1,KC438064,11,KC438180
HOB020708-0-1-3,Peltigera,canina,Spahats Creek,2,FJ708879,VI,2,KC437698,4,KC437945,1,KC438065,11,KC438181
HOB020708-0-1-4,Peltigera,leucophlebia Clade I,Spahats Creek,2,FJ708970,VI,2,KC437781,2,KC437985,2,KC438105,11,KC438221
HOB020708-0-1-5,Peltigera,leucophlebia Clade I,Spahats Creek,2,FJ708971,VI,2,KC437782,2,KC437986,2,KC438106,11,KC438222
HOB020708-0-1-6,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709004,VI,2,KC437809,2,KC437994,2,KC438113,11,KC438229
HOB020708-0-1-7,Peltigera,leucophlebia Clade III,Spahats Creek,13,FJ709005,VI,2,KC437810,4,KC437995,1,KC438114,11,KC438230
HOB020708-0-1-8,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708954,VI,2,KC437767,2,KC437977,2,KC438097,11,KC438213
HOB020708-0-1-9,Peltigera,britannica,Spahats Creek,7,FJ708857,VI,2,KC437679,1,KC437940,2,KC438060,11,KC438176
HOB020708-0-5-1,Peltigera,neocanina,Spahats Creek,2,FJ708922,V,1,KC437741,6,KC437929,3,KC438050,7,KC438165
HOB020708-0-5-2,Peltigera,leucophlebia Clade I,Spahats Creek,3,FJ708987,VI,2,KC437796,2,KC437992,2,KC438111,11,KC438227
HOB020708-0-5-4,Peltigera,leucophlebia Clade I,Spahats Creek,3,KC437613,VI,2,KC437840,2,KC437991,2,KC438110,11,KC438226
HOB020708-0-5-5,Peltigera,leucophlebia Clade III,Spahats Creek,14,FJ709028,VI,2,KC437829,2,KC438006,2,KC438120,11,KC438236
HOB020708-0-5-7,Peltigera,aphthosa,Spahats Creek,1,KC437625,IV,21,KC437841,,,,,,
HOB020708-0-9-1,Peltigera,membranacea,Spahats Creek,1,FJ709031,V,1,KC437832,6,KC437921,3,KC438042,7,KC438157
HOB020708-0-9-10,Nephroma,parile,Spahats Creek,1,KC437594,II,5,KC437842,8,KC438017,5,KC438131,12,KC438247
HOB020708-0-9-2,Peltigera,membranacea,Spahats Creek,1,FJ709032,V,1,KC437833,6,KC437922,3,KC438043,7,KC438158
HOB020708-0-9-3,Peltigera,membranacea,Spahats Creek,1,FJ709033,V,1,KC437834,6,KC437923,3,KC438044,7,KC438159
HOB020708-0-9-4,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708955,VI,2,KC437768,4,KC437978,1,KC438098,11,KC438214
HOB020708-0-9-5,Peltigera,leucophlebia Clade III,Spahats Creek,15,FJ709029,VI,2,KC437830,4,KC438007,1,KC438121,11,KC438237
HOB020708-0-9-6,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708956,VI,2,KC437769,4,KC437979,1,KC438099,11,KC438215
HOB020708-0-9-7,Peltigera,leucophlebia Clade I,Spahats Creek,1,FJ708957,VI,2,KC437770,4,KC437980,1,KC438100,11,KC438216
HOB020708-0-9-8,Nephroma,bellum,Spahats Creek,2,KC437606,II,12,KC437843,7,KC438032,9,KC438145,14,KC438262
HOB020708-0-9-9,Nephroma,parile,Spahats Creek,1,KC437595,II,5,KC437844,8,KC438018,5,KC438132,12,KC438248
HOB020708-31-1-1,Peltigera,fuscopraetextata,Spahats Creek,5,FJ708903,VI,2,KC437722,,,,,,
HOB020708-31-1-2,Peltigera,malacea,Spahats Creek,3,FJ708872,III,22,KC437691,,,,,,
