sample_id	taxon_name	host_family	host_genus	substrate	country	voucher
3	Peltigera_ponojensis_monticola_9	peltigeraceae	peltigera	terricolous		
8274	Peltigera_scabrosa_2	peltigeraceae	peltigera			
8277	Peltigera_aubertii	peltigeraceae	peltigera			
Cylindrospermum_stagnale_PCC_7417	Cylindrospermum_stagnale_PCC_7417	NA	NA			
JL23	Peltigera_aphthosa_JL23	peltigeraceae	peltigera			
JL31	Peltigera_extenuata_JL31	peltigeraceae	peltigera			
JL33	Peltigera_malacea_JL33	peltigeraceae	peltigera			
JL34	Peltigera_evansiana_JL34	peltigeraceae	peltigera			
Nmoss2	Pleurozium_schreberi_Nmoss2	hylocomiaceae	pleurozium			
Nmoss3	Pleurozium_schreberi_Nmoss3	hylocomiaceae	pleurozium			
Nmoss4	Pleurozium_schreberi_Nmoss4	hylocomiaceae	pleurozium			
NMS1	Peltigera_hydrothyria_NMS1	peltigeraceae	peltigera			
NMS2	Peltigera_hydrothyria_NMS2	peltigeraceae	peltigera			
NMS4	Peltigera_venosa_NMS4	peltigeraceae	peltigera			
NMS7	Solorina_crocea_NMS7	peltigeraceae	solorina			
NMS8	Peltigera_dolichorhiza_NMS8	peltigeraceae	peltigera			
NMS9	Peltigera_phyllidiosa_NMS9	peltigeraceae	peltigera			
NOS	Peltigera_aphthosa_NOS	peltigeraceae	peltigera			
Nostoc_calcicola_FACHB_389	Nostoc_calcicola_FACHB389	NA	NA			
Nostoc_commune_NIES_4072	Nostoc_commune_NIES_4072	NA	NA			
Nostoc_flagelliforme_CCNUN1	Nostoc_flagelliforme_CCNUN1	NA	NA			
Nostoc_KVJ10	Blasia_pusilla_KVJ10	blasiaceae	blasia			
Nostoc_KVJ2	Blasia_pusilla_KVJ2	blasiaceae	blasia			
Nostoc_KVS11	Blasia_pusilla_KVS11	blasiaceae	blasia			
Nostoc_linckia_NIES_25	Nostoc_linckia_NIES_25	NA	NA			
Nostoc_linckia_z4	Nostoc_linckia_z4	NA	NA			
Nostoc_punctiforme_PCC_73102	Nostoc_punctiforme_PCC_73102	NA	NA			
Nostoc_sp_ATCC_53789_v2	Nostoc_sp_ATCC_53789_v2	NA	NA			
Nostoc_sp_B_2019	Nostoc_sp_B_2019	NA	NA			
Nostoc_sp_JC1668	Zamia_pseudoparasitica_JC1668	zamiaceae	zamia			
Nostoc_sp_KVJ20	Blasia_pusilla_KVJ20	blasiaceae	blasia			
Nostoc_sp_Lobaria_pulmonaria_5183	Lobaria_pulmonaria_5183	lobariaceae	lobaria			
Nostoc_sp_Peltigera_malacea_cyanobiont_DB3992	Peltigera_malacea_cyanobiont_DB3992	peltigeraceae	peltigera			
Nostoc_sp_Peltigera_membranacea_cyanobiont_210A	Peltigera_membranacea_cyanobiont_210A	peltigeraceae	peltigera			
Nostoc_sp_Peltigera_membranacea_cyanobiont_213	Peltigera_membranacea_cyanobiont_213	peltigeraceae	peltigera			
Nostoc_sp_Peltigera_membranacea_cyanobiont_232	Peltigera_membranacea_cyanobiont_232	peltigeraceae	peltigera			
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6	Peltigera_membranacea_cyanobiont_N6	peltigeraceae	peltigera			
Nostoc_sp_UIC_10630	Nostoc_sp_UIC_10630	NA	NA			
Nostoc_sphaeroides_CCNUC1	Nostoc_sphaeroides_CCNUC1	NA	NA			
Nostoc_sphaeroides_Kutzing	Nostoc_sphaeroides_Kutzing	NA	NA			
P10073	Nephroma_resupinatum	nephromataceae	nephroma			
P10160	Peltigera_aphthosa_5	peltigeraceae	peltigera			
P10246	Protopannaria_pezizoides	pannariaceae	protopannaria			
