sample_id	taxon_name	host_family	host_genus	substrate_type	site_id	voucher	accession	reference	substrate_notes		
3	Peltigera_monticola	peltigeraceae	peltigera	terricolous	NA	"Austria, Tirol, Stubaier Alpen, Mt. Hammerzpitze, 2600 m, on calcareous slates, 12 Sept 1973; Vitikainen 8884, H"		This study			
8274	Peltigera_scabrosa_2	peltigeraceae	peltigera	terricolous	NA	"Greenland, Breutel, Flora Germaniae Exsiccati 203, UPS (Lectotype)"		This study; Mycobiont ITS published in Magain et al. 2023			
8277	Peltigera_aubertii	peltigeraceae	peltigera	terricolous	NA	"Kerguelen, near Molloy Point, on basalt escarpments, Butte aux Fougöres, muscicola, 3, LH (Lectotype)"		This study			
Aphanizomenon_flos_aquae_NIES_81	Aphanizomenon_flos_aquae_NIES_81	NA	NA	aquatic	NA	"Japan, Lake Kasumiguara, Aubert de la Riie 55"	NZ_AZYY00000000.1 	Cao et al. 2014	Fresh water		
Anabaena_cylindrica_PCC_7122	Anabaena_cylindrica_PCC_7122	NA	NA	aquatic	NA	"United Kingdom, Cambridge"	NC_019771.1	Shih et al. 2013			
Cylindrospermum_stagnale_PCC_7417	Cylindrospermum_stagnale_PCC_7417	NA	NA	terricolous	NA	"Sweden, Stockholm"	NC_019757.1	Shih et al. 2013	Soil in greenhouse		
JL23	Peltigera_aphthosa	peltigeraceae	peltigera	terricolous	NA	"Canada, Alberta, Miadlikowska and Lutzoni s.n., DUKE"		Cornet et al. 2021			
JL31	Peltigera_extenuata	peltigeraceae	peltigera	terricolous	NA	"Canada, Alberta, Miadlikowska and Lutzoni s.n., DUKE"		Cornet et al. 2021			
JL33	Peltigera_malacea	peltigeraceae	peltigera	terricolous	NA	"Canada, Alberta, Miadlikowska and Lutzoni s.n., DUKE"		Cornet et al. 2021			
JL34	Peltigera_evansiana	peltigeraceae	peltigera	terricolous	NA	"United States of America, Michigan, Miadlikowska and Lutzoni s.n, DUKE"		Cornet et al. 2021			
Nmoss2	Pleurozium_schreberi_Nmoss2	hylocomiaceae	pleurozium	terricolous	NA	"Sweden, Ruttjeheden, Reivo forest"	JGI 1042295	Warshan et al. 2018			
Nmoss3	Pleurozium_schreberi_Nmoss3	hylocomiaceae	pleurozium	terricolous	NA	"Sweden, Ruttjeheden, Reivo forest"	JGI 1042307	Warshan et al. 2018			
Nmoss4	Pleurozium_schreberi	hylocomiaceae	pleurozium	terricolous	NA	"Sweden, Ruttjeheden, Reivo forest"	NA	Warshan et al. 2018			
NMS1	Peltigera_hydrothyria	peltigeraceae	peltigera	aquatic	NA	"Canada, Nova Scotia, Anderson 16529, F"		Cornet et al. 2021			
NMS2	Peltigera_hydrothyria	peltigeraceae	peltigera	aquatic	NA	"Canada, Nova Scotia, Anderson 16530, F"		Cornet et al. 2021			
NMS4	Peltigera_venosa	peltigeraceae	peltigera	terricolous	NA	"Finland, Simon 80, LG"		Cornet et al. 2021			
NMS7	Solorina_crocea	peltigeraceae	solorina	terricolous	NA	"Finland, Simon 79, LG"		Cornet et al. 2021			
NMS8	Peltigera_dolichorhiza	peltigeraceae	peltigera	terricolous	NA	"Panama, Magain P6117, DUKE"		Cornet et al. 2021			
NMS9	Peltigera_phyllidiosa	peltigeraceae	peltigera	terricolous	NA	"United States of America, Magain P3103, DUKE"		Cornet et al. 2021			
NOS	Peltigera_aphthosa	peltigeraceae	peltigera	terricolous	NA	"Sweden, Darnajoux s.n., DUKE"		Cornet et al. 2021			
Nostoc_calcicola_FACHB_389	Nostoc_calcicola_FACHB_389	NA	NA	terricolous	NA	"Netherlands, Utrecht"	NZ_MRBZ01000000	Zhu et al. 2017	Soil		
Nostoc_commune_NIES_4072	Nostoc_commune_NIES_4072	NA	NA	NA	NA	"Japan, Kanagawa, Yokohama"	NZ_BDUD01000000	Hirose et al. 2017. Unpublished			
Nostoc_flagelliforme_CCNUN1	Nostoc_flagelliforme_CCNUN1	NA	NA	terricolous	NA	"China, Sunitezuoqi, Inner Mongolia"	NZ_CP024785.1	Shang et al. 2019	dry desert steppes and bare lands		
Nostoc_KVJ10	Blasia_pusilla	blasiaceae	blasia	terricolous	NA	"Norway, Kvaløya island, 69.64 N 18.73 E"	NA	Warshan et al. 2018			
