alerts,duke_dna,Region_Abb,placeholder,placeholder,placeholder,Current ID even for specimens not in tree,placeholder,placeholder,clade,abmi_id,site,year,collector,region,site_year,ITS,envelope,quadrant,stratum,orig_id,tbas_id,peltigera_epa_likelihood,peltigera_top_blast_id,peltigera_blast_pi,peltigera_blast_query_cover,Source,placeholder,Specimen Current Location,Ownership/Original Location?,World Koppen Climate Index,Lat Long Exact or Notes,Lat_dd,Long_dd,placeholder,Altitude (mASL),Ayla Hab Picture Made,Alya Aspect from Images,Aspect from images,Habitat (from portal download Aug 2023),ABMI_SITE_COPY FOR PHOTO LOOKUP,ABMI_YEAR_COPY FOR PHOTO LOOKUP,DH finalized habitat,"DH finalized habitat with ABMI photos, habsum",moisture regime,"Aquatic influence (in valley/ravine/coulee, along creek, along water body)",Disturbance? Only note if collector noted or visible in Google Earth,Substrate raw with observations (from portal download Aug 2023),"Substrate condensed, updated with RC info from directly beneath thallus to away from thallus (soil includes litter; moss includes dwarf veg like Selaginella; use terr if generic ground given for substrate)",HABITAT TRENDS,Notes/Means,peltigera_final_molecular_id_original,peltigera_final_molecular_id_updated,nostoc_top_blast_id,nostoc_blast_pi,nostoc_blast_query_cover,its_otu,rbclx_otu,nostoc_final_id,batch_48,CP notes,DH NOTES
REMOVE ROW, NA (orig P8877),CANADA_AB,,,,,,,,382091,413,2008,ABMI: Marcia Birkigt,Canada: Alberta,413_2008,Carlos,2507,1,UH,Peltigera scabrosa,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,57.323273,-113.110275,,717,,,,"Boreal Natural Region (Lower Boreal Highlands Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",413,2008,,mature pine,mesic,,none,stratum Upland soils. Collection #1 from upland humus,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate P# with 245719. Sequence matched 245719,"Resolved: data entry error, this specimen not squenced, site not in core set so didn't sample - REMOVE ROW"
REMOVE ROW,NA (orig P10444 DUPLICATE),CANADA_AB,,,,,,,,299931,1031,2011,ABMI: Mireille Martel,Canada: Alberta,1031_2011,Carlos,6123,NW,Upland,Nephroma arcticum,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.211262,-119.348755,,1505,,,,"Foothills Natural Region (Upper Foothills Subregion). Dominant current ecosite (150m radius): Mesic white spruce forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: 10% bare ground. ",1031,2011,,spruce,mesic,,bare ground,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,47?,,"Resolved: this specimen doesn't look sampled, no DNA # on packet - changed dna code to na- REMOVE ROW"
REMOVE ROW,NA (orig P8491),CANADA_AB,,,,,,,,757869,559,2016,ABMI: Aaron Cyr,Canada: Alberta,559_2016,Carlos,9644,NW,Log/Stump,Peltigera conspersa TGO,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.670578,-115.698334,,609,,,,"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (50m radius): Mesic black spruce forest on nutrient poor soils, trees <10m tall. % 25x15 m plot disturbed: 15% seismic. ",559,2016,,mature spruce,mesic,,soft linear,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,XXXIIIa,,Duplicate P# with 1326937. Hard to tell which was sampled,"Resolved: CP thought just 1 spp present, this row is extraneous - REMOVE ROW"
REMOVE ROW,NA (orig P8820),CANADA_AB,,,,,,,,393415,OG-DH-448-1,2008,ABMI: Diane Haugland,Canada: Alberta,OG-DH-448-1_2008,Carlos,5323,2,DM,Peltigera rufescens,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,56.92,-111.54,,319,,,,Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Site subject to recent anthropogenic disturbance. % ha disturbed: ~90% clearing for gravel extraction.,OG-DH-448-1,2008,,clearing,mesic,,industrial,stratum Upland soils. Collection #2 from disturbed mineral soil,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate P# with 717253. Sequence matched 717253,"Resolved: ruf was misid, Carlos didn't sample, all material is ponojensis. REMOVE ROW"
REMOVE ROW,NA (orig P8839),CANADA_AB,,,,,,,,390953,1070,2008,ABMI: Chris Kolaczan,Canada: Alberta,1070_2008,Carlos,4838,2,DT,Peltigera didactyla,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,53.939091,-117.590034,,1136,,,,"Foothills Natural Region (Upper Foothills Subregion). Dominant current ecosite (150m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: 40% forestry.",1070,2008,,spruce pine aspen mix,mesic,,forestry,stratum Tree tip-up. Collection #2 from soil & wood at base of tip-up,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate P# with 713192. Sequence matched 713192,"Resolved - Carlos sampled, clearly thought only Peltext present, 1 DNA sample from env - REMOVE ROW"
REMOVE ROW,NA (orig P8851),CANADA_AB,,,,,,,,1147290,859,2016,ABMI: Adam Sprott,Canada: Alberta,859_2016,Carlos,12257,SW,Tree/Other,Peltigera neckeri,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,54.523682,-111.148102,,594,,,,"Boreal Natural Region (Dry Mixedwood Subregion). Dominant current ecosite (50m radius): Mesic aspen forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",859,2016,,mature aspen,mesic,,none,Trees & vertical structures. Collected from one or more of the following:  broadleaf trees,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,P12649,,Duplicate P# with 626493. Hard te tell which one was sampled,"Resolved: not sampled, portal data entry error, not a core site so not sampled. REMOVE ROW"
REMOVE ROW,NA (orig P8932),CANADA_AB,,,,,,,,74846,83,2013,ABMI: Martina Hola,Canada: Alberta,83_2013,Carlos,32281,SW,Upland,Peltigera leucophlebia,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,59.460358,-114.442337,,649,,,,Boreal Natural Region (Lower Boreal Highlands Subregion). Nutrient poor hydric black spruce bog. % 25x15 m plot disturbed: none. ,83,2013,,treed bog,hydric,bog,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate P# with 356810. Sequence matched the other record,"Resolved: all material is aphthosa, CP just sampled once. REMOVE ROW"
REMOVE ROW,NA (orig P8978),CANADA_AB,,,,,,,,509013,112,2013,ABMI: Gordon Schnurr,Canada: Alberta,112_2013,Carlos,2161,SW,Upland,Peltigera cf. canina,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,59.279404,-114.582375,,770,,,,Boreal Natural Region (Boreal Subarctic Subregion). Shrubby fen. % 25x15 m plot disturbed: none. ,112,2013,,shrub fen,hydric,fen,none,"Upland soils. Collected from one or more of the following:  exposed humus, shaded humus",,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate # with 4818. Sequence matched 4818,"Resolve: all material is aff. neorufescens, CP just sampled once. REMOVE ROW"
REMOVE ROW,NA (orig P9105),CANADA_AB,,,,,,,,11896,1110,2013,ABMI: Jesse Lewis,Canada: Alberta,1110_2013,Carlos,1809,SW,Tree/Other,Peltigera neckeri,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,53.582878,-115.551056,,876,,,,"Foothills Natural Region (Lower Foothills Subregion). Dominant current ecosite (150m radius): Hygric upland spruce forest on nutrient rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1110,2013,,spruce mix,hygric,,none,"Trees & vertical structures. Collected from one or more of the following:  broadleaf trees, conifers, shrubs",,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,Duplicate P# with  4042. Sequence probably corresponds to 4042,"Resolved: neckeri was not sampled, this site is not in intensive sampling scheme so did not resample. REMOVE ROW"
REMOVE ROW,NA (orig P9106),CANADA_AB,,,,,,,,512655,1110,2013,ABMI: Jesse Lewis,Canada: Alberta,1110_2013,Carlos,39394,SE,Log/Stump,Peltigera canina,#N/A,#N/A,#N/A,#N/A,#N/A,This study,,"on loan to Diane fr RaM, at UofA",PMAE,,,53.582878,-115.551056,,876,,,,"Foothills Natural Region (Lower Foothills Subregion). Dominant current ecosite (150m radius): Hygric upland spruce forest on nutrient rich soils, trees >=10m tall. % 25x15 m plot disturbed: none. ",1110,2013,,spruce mix,hygric,,none,"Dead wood. Collected from one or more of the following:  hard logs &/or stumps, soft logs &/or stumps",,,,Peltigera_praetextata,Peltigera_praetextata,#N/A,#N/A,#N/A,#N/A,#N/A,V,,Duplicate P# with  505188. Hard to tell which one was sampled,"Resolved: canina was not sampled, this site is not in intensive sampling scheme so did not resample. REMOVE ROW"
