duke_dna,abmi_id,year,site,site_year,envelope,quadrant,stratum,orig_id,tbas_id,peltigera_epa_likelihood,peltigera_top_blast_id,peltigera_blast_pi,peltigera_blast_query_cover,its_otu,peltigera_final_id,nostoc_top_blast_id,nostoc_blast_pi,nostoc_blast_query_cover,rbclx_otu,nostoc_final_id,notes,batch_48,,,,
P8354,516632,2004,543,543_2004,144,2,LS,Peltigera,Peltigera_praetextata,"0.159079, 0.135513, 0.073580, 0.068333, 0.065682, 0.057859, 0.057643, 0.057082, 0.035427, 0.035394, 0.034860",P0420_peltigera_praetextata,100,98,OTU5,Peltigera_praetextata,P2010_2011_2033_fibril_424_2007_2008_sp2_1598_austroam_1561_,99.878,96,otu37,V,0,,,,,
P9449,526242,2004,896,896_2004,1,1,TC,Lobaria scrobiculata,0,0,0,0,0,0,,0,0,0,0,,,27,,,,
P11558,361980,2007,217,217_2007,1020,2,UH,Peltigera rufescens,Peltigera_neorufescens_5,"0.902014, 0.048618",P2086_peltigera_neorufescens_5,92.785,96,OTU302,Peltigera_aff_neorufescens,JL31_extenuata_vnf,99.65,99,otu293,,,70,,,,
P8360,361982,2007,217,217_2007,1019,3,UH,Peltigera neorufescens TGO,Peltigera_neorufescens_5,"0.916162, 0.046126",P2086_peltigera_neorufescens_5,93.277,96,OTU390,Peltigera_aff_neorufescens,JL31_extenuata_vnf,99.65,99,otu293,XXXIIIa,potential new lineage within neorufescens clade,,,,,
P9133,362050,2007,218,218_2007,1014,2,UH,Peltigera ponojensis,Peltigera_sp_21,"0.184298, 0.064654, 0.060540, 0.054593, 0.054572, 0.054002, 0.053494, 0.053359, 0.050837, 0.044244, 0.043647",IC355_peltigera_islandica,100,100,OTU4,Peltigera_islandica,P1839_P_retifoveata_USA,99.883,96,otu213,XXXIIIa,0,,,,,
P11634,362514,2007,277,277_2007,2538,1,UH,Peltigera leucophlebia,0,0,0,0,0,0,,0,0,0,0,,,72,,,,
P11632,362524,2007,277,277_2007,526V,1,WPW,Peltigera leucophlebia,0,0,0,0,0,0,,0,0,0,0,,,72,,,,
P11633,362472,2007,277,277_2007,2537,2,LS,Peltigera leucophlebia,0,0,0,0,0,0,,0,0,0,0,,,72,,,,
P11686,692226,2007,277,277_2007,2539A,3,LH,Peltigera latiloba,0,0,0,0,0,0,,0,0,0,0,,,73,,,,
P11685,362446,2007,277,277_2007,2539,3,LH,Peltigera leucophlebia,0,0,0,0,0,0,,0,0,0,0,,,73,,,,
