taxon,clade,dna_id,voucher_published source,its,b-tubulin,COR1B,COR3,COR16,rbclx,rbclx_phylogroup_haplotype,name_on_the_tree
"P. fimbriata Vitik., Sérus., Goffinet & Mi_dl.",6,FIM1,"Papua New Guinea, Sérusiaux & al. 2009",FJ527272,---,---,---,---,---,N/A,6P_fimbriata_PapuaNewGuinea_FJ527272 
"P. fimbriata Vitik., Sérus., Goffinet & Mi_dl.",6,FIM2,"Papua New Guinea, Sérusiaux & al. 2009",FJ527273,---,---,---,---,---,N/A,6P_fimbriata_PapuaNewGuinea_FJ527273 
"P. fimbriata Vitik., Sérus., Goffinet & Mi_dl.",6,FIM3,"Papua New Guinea, Sérusiaux & al. 2009",FJ527274 ,---,---,---,---,---,N/A,6P_fimbriata_PapuaNewGuinea_FJ527274 
P. isidiophora L. F. Han & S. Y. Guo,3,20421S1,"China: Hebei, Han & al. 2015",KJ095106,---,---,---,---,---,N/A,3P_isidiophora20421S1
P. isidiophora L. F. Han & S. Y. Guo,3,20421S2,"China: Hebei, Han & al. 2015",KJ095107,---,---,---,---,---,N/A,3P_isidiophora20421S2
P. isidiophora L. F. Han & S. Y. Guo,3,20423,"China: Hebei, Han & al. 2015",KJ095108,---,---,---,---,---,N/A,3P_isidiophora20423
P. ulcerata Gyeln.,4,P1852,"Philippines, Kalb & Schrogl s.n., DUKE",MH758266,---,---,---,---,---,N/A,4P_ulcerata_Philippines_P1852 
P. canina (L.) Willd. 2,9,HOB11,"Canada: BC, O'Brien & al. 2013",FJ708876,FJ709303,---,---,---,---,N/A,9P_canina_CanadaBC_HOB0207087052 
P. cinnamomea Goward,7,HOB23,"Canada: BC, O'Brien & al. 2013",FJ708911,FJ709305,---,---,---,---,N/A,7P_cinnamomea_CanadaBC_HOB040605123 
P. membranacea (Ach.) Nyl. 1,8,HOB5,"Canada: BC, O'Brien & al. 2013",KC437646,FJ709435,---,---,---,---,N/A,8P_membranacea_CanadaBC_HOB04060512 
P. neocanina 1,7,HOB24,"Canada: BC, O'Brien & al. 2013",FJ708922,FJ709443,---,---,---,---,N/A,7P_neocanina_CanadaBC_HOB020708051 
P. neocanina 1,7,HOB25,"Canada: BC, O'Brien & al. 2013",FJ708916,FJ709444,---,---,---,---,N/A,7P_neocanina_CanadaBC_HOB0207086652 
P. ponojensis Gyeln./monticola Vitik. 3,5,HOB28,"Canada: BC, O'Brien & al. 2013",FJ709039,FJ709448,---,---,---,---,N/A,5P_ponojensis_CanadaBC_HOB0207086213 
P. praetextata (Flörke ex Sommerf.) Zopf,9,HOB20,"Canada: BC, O'Brien & al. 2013",FJ708906,FJ709452,---,---,---,---,N/A,9P_praetextata_CanadaBC_HOB030611058 
P. evansiana Gyeln.,9,P1818,"USA: PA, Lendemer 17753, NY 01103610",MH758492,KM005809,---,---,---,---,N/A,9P_evansiana_USA_P1818 
P. aubertii C. W. Dodge,2,P1815,"Chile: Region XII, Stenroos 2459, H",MH758229,MH770812,---,---,---,---,N/A,2P_aubertii_Chile_P1815 
P. antarctica C. W. Dodge,5,P1805,"South Orkney Islands, Lindsay 935, H",MH758275,MH770826,---,---,---,---,N/A,5P_antarctica_OrkneyIslands_P1805 
P. friesiorum Gyeln.,6,P2006,"Brazil, Lutzoni & al. s.n, CGMS 34570",MH758331,MH770873,---,---,---,MH770630,XXXIXe,6P_friesiorum_Brazil_P2006 
P. neocanina 1,7,P0070,"USA: NM, Hollinger 2460, UBC",MH758395,MH770900,---,---,---,KX923107,V,7P_neocanina_USA_P0070 
P. tereziana Gyeln.,8,P2155,"New Zealand, Tibell 9563, UPS L-536309",MH758437,MH770943,---,---,---,---,N/A,8P_tereziana_NewZealand_P2155 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 1,9,P0027,"Costa Rica, Miadlikowska & Lutzoni 23.03.03-10, DUKE 0357975",MH758454,MH770954,---,---,---,MH770742,XXXIX,9P_fibrilloides_CostaRica_P0027 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 4,9,P0032,"Costa Rica, Miadlikowska & Lutzoni 23.03.03-15, DUKE 0401855",MH758455,MH770963,---,---,---,MH770742,XL,9P_fibrilloides_CostaRica_P0032 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 4,9,P0038,"Costa Rica, Miadlikowska & Lutzoni 23.03.03-21, DUKE 0401857",MH758456,MH770964,---,---,---,MH770743,XXXIX,9P_fibrilloides_CostaRica_P0038 
P. austroamericana Zahlbr./fibrilloides (Gyeln.) Vitik. 4,9,P0054,"Costa Rica, Miadlikowska & Lutzoni 22.03.03-37, DUKE 0401853",MH758457,MH770965,---,---,---,MH770744,XL,9P_fibrilloides_CostaRica_P0054 
P. didactyla (With.) J. R. Laundon 3,4,P2110,"Canada: BC, Goward s.n., DUKE 0017197",MH758242,---,MH770034,---,---,MH770541,XXX,4P_didactyla_CanadaBC_P2110 
"P. montis-wilhelmii Sérus., Goffinet, Mi_dl. & Vitik. 2",7,P2157,"Papua New Guinea, Sérusiaux 13984, LG",MH758383,---,MH770135,---,---,MH770691,XXXI,7P_montiswilhelmii_PapuaNewGuinea_P2157 
