DNA id.,Species,Section,Voucher,Region,ITS,_-tubulin,RPB1,COR1b,COR3,COR16,No. of loci,rbcLX (Nostoc),ITS (Coccomyxa),Nostoc phylogroup or haplotype,,Coccomyxa species,,,Apothecia
P1335,P. latiloba,CHL,"Canada, Nunavik, ULF",ARC,MH734671,MH756828,MH756776,-,MH756981,-,4,MH757036,-,XVIII,-,,,,N/A
P1343,P. latiloba,CHL,"Canada, Nunavik, ULF 594931",ARC,MH734633,MH756830,MH756760,-,MH756989,-,4,MH757035,-,XVIII,-,,,,N/A
P1349,P. latiloba,CHL,"Canada, Nunavik, ULF 594777",ARC,MH734632,MH756829,MH756761,-,MH756982,-,4,MH757034,MH753191,XVIII,C. solorinae,,,,Absent
P1351,P. latiloba,CHL,"Canada, Nunavik, ULF 594943",ARC,MH734631,MH756827,MH756775,-,MH756978,-,4,-,-,-,-,,,,Absent
P6080,P. latiloba,CHL,"Canada, Nunavut, C. Bjork s.n., DUKE",ARC,MH734668,MH756856,-,MH756888,MH756990,MH756923,5,MH757008,MH753198,VI,C. solorinae,,,,Absent
P6081,P. latiloba,CHL,"U.S., Alaska, P. Nelson s.n.",ALA,MH734669,MH756871,-,-,-,-,2,MH757033,MH753201,XXV,C. solorinae,,,,Absent
P702,P. leucophlebia 1,CHL,"U.S., Alaska, P. Nelson s.n., DUKE",ALA,MH734645,MH756834,-,-,MH756991,-,3,-,MH753230,-,C. solorinae,,,,Absent
P1036,P. leucophlebia 1,CHL,"U.S., Vermont, NYBG 1217957",ENA, MH734647,MH756846,MH756755,-,MH756977,-,4,-,MH753190,-,C. solorinae,,,,Absent
P250,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward s.n., UBC 11-040",PNW,MH734679,-,MH756765,-,MH756942,-,3,MH757031,MH733944,XXXa,C. subellipsoidea,,,,Present
P263,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 10-064, UBC 11-053",PNW,MH734680,-,MH756772,-,MH756943,-,3,-,-,-,-,,,,Present
P264,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 09-107, UBC 11-054",PNW,MH734681,-,MH756758,-,MH756936,-,3,MH757027,MH753180,VI,C. subellipsoidea,,,,Present
P254,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 09-435, UBC 11-044",PNW,MH734682,-,-,-,MH756937,-,2,MH757028,-,H466,-,,,,Present
P251,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 09 s.n., UBC 11-041",PNW,MH734683,-,-,-,MH756938,-,2,-,-,-,-,,,,Present
P283,P. leucophlebia 1,CHL,"Canada, British Columbia, UBC 11-082",PNW,MH734684,-,-,-,MH756939,-,2,MH757020,-,V,-,,,,Absent
P257,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 09-292, UBC 11-047",PNW,MH734685,-,MH756773,-,MH756940,-,3,-,-,-,-,,,,Absent
P1371a,P. leucophlebia 1.,CHL,"Russia, Murmansk, DUKE",NE,MH734686,MH756816,-,-,MH756941,-,3,-,-,-,-,,,,Absent
P6061,P. leucophlebia 1,CHL,"U.S., Alaska, Spickerman, McCune, Nelson, Tonsberg & Walton s.n., DUKE ",ALA,MH734687,MH756863,MH756780,MH756891,MH756949,MH756909,6,MH757038,MH753192,XLII,C. solorinae,,,,Absent
P6072,P. leucophlebia 1,CHL,"Russia, Khabarovsk, J. Miadlikowska s.n., DUKE",SEA,MH734688,MH756852,MH756788,MH756895,MH756987,MH756901,6,,MH753207,,C. solorinae,,,,Absent
P1371b,P. leucophlebia 1.,CHL,"Russia, Murmansk, DUKE",NE,MH734689,MH756817,-,-,MH756988,-,3,-,-,-,-,,,,Absent
P6059,P. leucophlebia 1,CHL,"U.S., Alaska, Spickerman, McCune, Nelson, Tonsberg & Walton 174, DUKE",ALA,MH734690,MH756851,MH756797,MH756890,MH756993,MH756903,6,MH757013,MH753170,XVIII,C. subellipsoidea,,,,Absent
P262,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 09-634, UBC 11052",PNW,MH734691,-,-,-,MH756992,-,2,-,-,-,-,,,,Present
P239,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 07-079, UBC 11-025",PNW,MH734692,MH756847,MH756771,-,MH756984,-,4,MH757042,-,VI,-,,,,Absent
P259,P. leucophlebia 1,CHL,"Canada, British columbia, T. Goward 09-633, UBC 11-049",PNW,MH734693,-,MH756767,-,MH756985,-,3,-,-,-,-,,,,Present
P6050,P. leucophlebia 1,CHL,"Austria, Styria, J. Miadlikowska & Hafellner s.n., DUKE 38906",CE,MH734694,-,-,-,MH756986,-,2,MH757004,MH753229,VI,C. solorinae,,,,Absent
P6065,P. leucophlebia 1,CHL,"Iceland, Arnessysla, J. Miadlikowska & F. Lutzoni s.n., DUKE",ARC,MH734695,MH756812,MH756783,MH756889,MH756944,MH756900,6,MH757054,MH753164,XVI,C. subellipsoidea,,,,Absent
P6076,P. leucophlebia 1,CHL,"Canada, British Columbia, T. Goward 14-001, DUKE",PNW,MH734696,-,-,MH756899,MH756947,-,3,MH757045,MH753159,VI,C. subellipsoidea,,,,Absent
P6091,P. leucophlebia 1,CHL,"Canada, Alberta, J. Miadlikowska s.n., DUKE",ALB,MH734697,MH756864,-,-,-,MH756902,3,MH757016,MH753208,XXXIIIa,C. solorinae,,,,Present
P6075,P. leucophlebia 1.,CHL,"U.S., Wyoming, J. Hollinger 2593, DUKE",MWNA,MH734698,-,-,MH756898,MH756948,-,3,MH757029,MH753167,XXXa,C. subellipsoidea,,,,Absent
P1118,P. leucophlebia 2,CHL,"U.S., South Dakota, DUKE",MWNA,MH734627,MH756818,-,-,MH756945,-,3,MH757025,MH753225,VI,C. solorinae,,,,Present
P1119,P. leucophlebia 2,CHL,"U.S., South Dakota, DUKE",MWNA,MH734628,-,-,-,MH756946,-,2,-,-,-,-,,,,Present
P1355,P. leucophlebia 2,CHL,"Finland, Sysma, H 26615",NE,MH734629,MH756815,MH756768,-,MH756994,-,4,-,-,-,-,,,,Present
P1120,P. leucophlebia 2,CHL,"Canada, Alberta, DUKE",ALB,MH734630,MH756819,-,-,MH756995,-,3,-,-,-,-,,,,Absent
P246,P. leucophlebia 2,CHL,"Canada, British Columbia, T. Goward 07-193, UBC 11-032",PNW,MH734634,MH756831,MH756769,-,MH756950,-,4,-,-,-,-,,,,Absent
P288,P. leucophlebia 2,CHL,"Canada, British Columbia, Talbot 002-23,UBC 11-089",PNW,MH734639,MH756824,-,-,MH756958,-,3,MH757056,MH753182,VI,C. subellipsoidea,,,,Present
P289,P. leucophlebia 2,CHL,"Canada, British Columbia, T. Goward 09-115, UBC 11-090",PNW,MH734638,MH756822,-,-,MH756959,-,3,-,MH753177,-,C. subellipsoidea,,,,Present
P710,P. leucophlebia 2,CHL,"U.S., Alaska, P. Nelson s.n., DUKE",ALA,MH734640,MH756825,-,-,MH756956,-,3,-,-,-,-,,,,Absent
P711,P. leucophlebia 2,CHL,"U.S., Alaska, P. Nelson s.n., DUKE",ALA,MH734636,MH756820,-,-,MH756957,-,3,-,MH753181,-,C. subellipsoidea,,,,Present
P716,P. leucophlebia 2,CHL,"U.S., Alaska, P. Nelson s.n., DUKE 7808",ALA,MH734635,MH756832,-,-,MH756954,-,3,-,MH753178,-,C. subellipsoidea,,,,Absent
P286,P. leucophlebia 2,CHL,"Canada, British columbia, T. Goward 09-097, UBC 11-087",PNW,MH734637,MH756821,-,-,MH756955,-,3,MH757049,MH753172,VI,C. subellipsoidea,,,,Present
P762,P. leucophlebia 2,CHL,"Canada, British Columbia, H 68797",PNW,MH734642,MH756873,-,-,MH756953,-,3,-,-,-,-,,,,Absent
P287,P. leucophlebia 2,CHL,"Canada, British Columbia, T. Goward 10-093, UBC 11-088",PNW,MH734643,MH756826,-,-,MH756952,-,3,MH757044,MH753186,VI,C. subellipsoidea,,,,Absent
P704,P. leucophlebia 2,CHL,"U.S., Alaska, P. Nelson s.n., DUKE",ALA,MH734644,MH756869,-,-,MH756951,-,3,-,-,-,-,,,,N/A
P705,P. leucophlebia 2,CHL,"U.S., Alaska, P. Nelson s.n., DUKE",ALA,MH734646,MH756833,MH7567775,-,MH756976,-,4,MH757055,MH753232,XVIII,C. solorinae,,,,Absent
P6068,P. leucophlebia 2,CHL,"China, B. Goffinet",SEA,MH734658,MH756861,MH756785,MH756894,MH756961,MH756924,6,-,MH753210,-,C. solorinae,,,,Absent
P6086,P. leucophlebia 2,CHL,"Canada, British Columbia, T. Goward 15-029, DUKE",PNW,MH734659,-,-,-,-,MH756921,2,-,MH753206,-,C. solorinae,,,,Present
P6085,P. leucophlebia 2,CHL,"Canada, Alberta, J. Miadlikowska s.n., DUKE",ALB,MH734660,MH756858,MH778710,-,-,MH756908,4,MH757048,MH753199,XXXIIIa,C. solorinae,,,,Present
